"Datum","Uhrzeit","Allgemein","Geben Sie Ihr Alter an (freiwillig)","Wohnen Sie in Moosburg?","An welchen Tagen besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Zu welchen Tageszeiten besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Erreichbarkeit","Wie kommen Sie zum Fest? (mehrfache Antworten möglich)","Wie bewerten Sie insgesamt die Erreichbarkeit des Festplatzes für Sie persönlich?","Wollen Sie uns etwas zum Thema Erreichbarkeit mitteilen? (optional)","Essen","Nutzen Sie die Essensangebote auf dem Fest? (mehrfache Antworten möglich)","Sollen bei den Essensangeboten folgende Ernährungspräferenzen bzw. -restriktionen mehr berücksichtigt werden? (mehrfache Antworten möglich)","Wie leicht fällt es Ihnen, geeignetes Essen zu finden?","Wie bewerten Sie die Preise für Essen auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot an Essen auf dem Fest für Sie persönlich?","Getränke","Nutzen Sie die Getränkeangebote auf dem Fest? (mehrfache Antworten möglich)","Wie bewerten Sie die Preise für Getränke auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot das Angebot an Getränken auf dem Fest für Sie persönlich?","Programm & Fahrgeschäfte","Wie bewerten Sie insgesamt das Programm (Musikgruppen etc.) auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt die Auswahl an Fahrgeschäften und Ständen auf dem Fest für Sie persönlich?","Wie gefällt Ihnen das Rahmenprogramm zur Herbstschau? (Umzug, Ausstellung der Hobbyhandwerker, Isarman, ...) (optional)","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten?","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten? - Zusätzliche Informationen (optional)","Sonstige Anregungen, Lob & Kritik (optional)"
"28.12.2024","09:32","","","Ja","Sonntag","Vor 14 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","6","4","6","","Im Festzelt","4","6","","6","6","","6","",""
"23.12.2024","13:52","","","Ja","Freitag, Samstag, Sonntag","Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","3","","3","2","","5","",""
"22.12.2024","09:42","","34","Ja","Freitag, Samstag, Sonntag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","4","4","","Im Festzelt","4","4","","5","3","","6","",""
"12.12.2024","16:56","","","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","4","4","","Im Festzelt, Von den Ständen auf dem Festplatz","4","4","","4","4","","4","",""
"12.12.2024","10:11","","57","Ja","Mittwoch, Donnerstag, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","2","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","2","3","3","","Im Festzelt","2","3","","4","3","","2","",""
"09.12.2024","15:49","","27","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","4","","Im Festzelt","3","3","","4","3","","6","","Bitte längere Öffnungszeiten der Urweisse Hütte erlauben;"
"06.12.2024","12:57","","49","Ja","Samstag, Sonntag","Vor 14 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt","4","5","","5","2","","6","",""
"06.12.2024","11:28","","","Nein","Freitag, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr, Nach 18 Uhr","","PKW","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","1","6","","Im Festzelt","1","5","","1","3","","2","",""
"06.12.2024","08:22","","33","Ja","Mittwoch, Sonntag","14 bis 18 Uhr","","Fahrrad","3","Parksituation um den Platz wie im wilden Westen  Teilweise nicht mal zu Fuß zugänglich","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","3","","Im Festzelt","5","5","","4","3","Ist immer das gleiche","3","Absicherung an den Eingängen gibt es nicht  Fahrzeuge fahren Nachmittags auf dem Platz herum Mittags parken Fahrzeuge der Stadt kreuz und quer auf dem platz","Zugang zur Damentoilette schwierig da an der Stelle alles sehr eng ist  Am Kinderkurassel neben dem Entenheben ist das Personal extrem unfreundlich und Kindern gegenüber schon fast Menschenverachtend  Im Vergleich zu anderen Festen muss man sagen das die Familie Krämmer ein  ein qualitativ gutes Angebot hat"
"05.12.2024","14:37","","58","Ja","Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","5","","Im Festzelt","2","5","","4","3","","5","",""
"31.10.2024","08:59","","28","Ja","Freitag, Samstag, Sonntag","Nach 18 Uhr","","Fahrrad","6","","","Von den Ständen auf dem Festplatz","vegetarisch, vegan, halal/koscher","3","4","4","","Im Festzelt","3","3","","3","4","","5","",""
"31.10.2024","03:50","","24","Ja","Mittwoch, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","6","","4","4","","3","",""
"30.10.2024","22:34","","55","Ja","Mittwoch, Freitag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","5","6","","Im Festzelt","5","6","","5","5","","6","",""
"30.10.2024","21:47","","43","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","2","5","","Im Festzelt, Von den Ständen auf dem Festplatz","2","5","","3","4","","5","",""
